time_key,music_key,grammy_key,popularity,has_grammy_match
,1332,,16,False
,1333,,37,False
,1334,,55,False
,1335,,43,False
,1336,,17,False
,1337,,0,False
,1338,,61,False
,1339,,56,False
,1340,,0,False
,1341,,19,False
,1342,,40,False
,1343,,14,False
,1344,,36,False
,1345,,12,False
,1346,,21,False
,1347,,28,False
,1348,,39,False
,1349,,0,False
,1350,,58,False
,1351,,37,False
,1352,,53,False
,1353,,17,False
,1354,,0,False
,1355,,17,False
,1356,,40,False
,1357,,69,False
,1358,,51,False
,1359,,60,False
,1360,,41,False
,1361,,0,False
,1362,,47,False
,1363,,25,False
,1364,,21,False
,1365,,43,False
,1366,,44,False
,1367,,27,False
,1368,,81,False
,1369,,13,False
,1370,,37,False
,1371,,44,False
,1372,,45,False
,1373,,39,False
,1374,,25,False
,1375,,33,False
,1376,,16,False
,1377,,46,False
,1378,,61,False
,1379,,31,False
,1380,,45,False
,1381,,0,False
,1382,,27,False
,1383,,33,False
,1384,,49,False
,1385,,35,False
,1386,,23,False
,1387,,9,False
,1388,,19,False
,1389,,23,False
,1390,,9,False
,1391,,19,False
,1392,,23,False
,1393,,63,False
,1394,,4,False
,1395,,71,False
,1396,,35,False
,1397,,26,False
,1398,,69,False
,1399,,19,False
,1400,,38,False
,1401,,28,False
,1402,,52,False
,1403,,47,False
,1404,,0,False
,1405,,51,False
,1406,,3,False
,1407,,46,False
,1408,,21,False
,1409,,43,False
,1410,,62,False
,1411,,0,False
,1412,,39,False
,1413,,64,False
,1414,,43,False
,1415,,20,False
,1416,,30,False
,1417,,52,False
,1418,,11,False
,1419,,61,False
,1420,,37,False
,1421,,33,False
,1422,,35,False
,1423,,48,False
,1424,,18,False
,1425,,52,False
,1426,,57,False
,1427,,66,False
,1428,,45,False
,1429,,55,False
,1430,,34,False
,1431,,27,False
,1432,,51,False
,1433,,41,False
,1434,,56,False
,1435,,43,False
,1436,,35,False
,1437,,49,False
,1438,,24,False
,1439,,44,False
,1440,,19,False
,1441,,9,False
,1442,,19,False
,1443,,10,False
,1444,,24,False
,1445,,12,False
,1446,,22,False
,1447,,50,False
,1448,,38,False
,1449,,39,False
,1450,,65,False
,1451,,27,False
,1452,,76,False
,1453,,46,False
,1454,,58,False
,1455,,63,False
,1456,,54,False
,1457,,0,False
,1458,,66,False
,1459,,33,False
,1460,,69,False
,1461,,40,False
,1462,,23,False
,1463,,42,False
,1464,,21,False
,1465,,61,False
,1466,,18,False
,1467,,59,False
,1468,,53,False
,1469,,0,False
,1470,,38,False
,1471,,50,False
,1472,,0,False
,1473,,0,False
,1474,,33,False
,1475,,0,False
,1476,,31,False
,1477,,37,False
,1478,,20,False
,1479,,60,False
,1480,,44,False
,1481,,21,False
,1482,,28,False
,1483,,47,False
,1484,,0,False
,1485,,21,False
,1486,,36,False
,1487,,76,False
,1488,,37,False
,1489,,12,False
,1490,,22,False
,1491,,44,False
,1492,,0,False
,1493,,8,False
,1494,,4,False
,1495,,27,False
,1496,,52,False
,1497,,11,False
,1498,,36,False
,1499,,35,False
,1500,,37,False
,1501,,42,False
,1502,,28,False
,1503,,46,False
,1504,,25,False
,1505,,34,False
,1506,,20,False
,1507,,88,False
,1508,,30,False
,1509,,22,False
,1510,,0,False
,1511,,57,False
,1512,,41,False
,1513,,36,False
,1514,,0,False
,1515,,66,False
,1516,,17,False
,1517,,37,False
,1518,,49,False
,1519,,68,False
,1520,,45,False
,1521,,0,False
,1522,,17,False
,1523,,30,False
,1524,,57,False
,1525,,45,False
,1526,,0,False
,1527,,39,False
,1528,,41,False
,1529,,5,False
,1530,,60,False
,1531,,32,False
,1532,,48,False
,1533,,12,False
,1534,,0,False
,1535,,72,False
,1536,,29,False
,1537,,49,False
,1538,,26,False
,1539,,22,False
,1540,,0,False
,1541,,23,False
,1542,,63,False
,1543,,40,False
,1544,,41,False
,1545,,25,False
,1546,,23,False
,1547,,83,False
,1548,,54,False
,1549,,46,False
,1550,,25,False
